               1,     2.28497e+06,     2.28497e+06,               0
               2,     2.31856e+06,     2.30176e+06,         11878.6
               3,     2.30098e+06,      2.3015e+06,          7921.9
               4,     2.30984e+06,     2.30359e+06,         6209.41
               5,     2.30861e+06,     2.30459e+06,         5048.29
               6,     2.30481e+06,     2.30463e+06,         4207.03
               7,     2.31146e+06,      2.3056e+06,         3717.39
               8,     2.29965e+06,     2.30486e+06,         3326.37
               9,     2.32251e+06,     2.30682e+06,         3487.08
              10,     2.31202e+06,     2.30734e+06,         3176.92
               1,     6.00623e+07,     6.00623e+07,               0
               2,     5.97231e+07,     5.98927e+07,          119915
               3,     7.03557e+07,     6.33804e+07,      2.8488e+06
               4,     6.68741e+07,     6.42538e+07,     2.26654e+06
               5,     6.63077e+07,     6.46646e+07,     1.85008e+06
               6,     7.22903e+07,     6.59355e+07,     1.92952e+06
               7,     6.67362e+07,     6.60499e+07,     1.65726e+06
               8,     6.24051e+07,     6.55943e+07,     1.51143e+06
               9,     7.11397e+07,     6.62105e+07,     1.46371e+06
              10,      6.8786e+07,      6.6468e+07,      1.3398e+06
               1,     3.53714e+08,     3.53714e+08,               0
               2,     3.57961e+08,     3.55837e+08,     1.50162e+06
               3,     3.59272e+08,     3.56982e+08,     1.36965e+06
               4,      3.5114e+08,     3.55522e+08,     1.62941e+06
               5,     3.53574e+08,     3.55132e+08,      1.3493e+06
               6,     3.58829e+08,     3.55748e+08,     1.25725e+06
               7,     3.53967e+08,     3.55494e+08,     1.10309e+06
               8,     3.49334e+08,     3.54724e+08,     1.20432e+06
               9,     3.56812e+08,     3.54956e+08,     1.09263e+06
              10,     3.55102e+08,     3.54971e+08,          983465
